Sentence,Sentiment,Sentence_clear
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,2005 bank post net profit lt 82 mn
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,aapl afternoon selloff usual brutal get ready lose ton money
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,tsla recall pretty much every single model x cnnbrk get short even work jump money trade
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,dolce gabbana ask european union declare marimekko corporation unikko floral pattern trademark invalid continue dispute two company
InterContinental Hotels first-quarter global room revenue lags estimates,negative,intercontinental hotel firstquarter global room revenue lag estimate
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,accord finnish pension insurance company varma varma recipient two third revenue earningsrelate pension cover competitive tendering finland
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,portion 125 million record part winning prior patent dispute finnish phone maker nokia oyj
"L&G still paying price for dividend cut during crisis, chief says",negative,lg still pay price dividend cut crisis chief say
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,volume investment two phase project estimate usd 300mn eur 21503 mn
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,russia account 9 lagardere magazine division revenue eur 11440 mn usd 14811 mn 2009 usa 18
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,company also estimate already carry investment lead increase net sale 2010 2009 reach eur 1417 million
Profit of the accounting period was EUR 0.3 mn .,neutral,profit accounting period eur 03 mn
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,six brewery record 52 percent growth domestic beer sale last year 27021 million liter 25688 million liter sell 2005
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,augustoctober 2010 company result taxis total eur 96 mn eur 05 mn correspond period 2009
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,systeemitiimi sale project resource also strengthen director paul skogberg say
Tesco share price jumps as Q3 sales top estimates,positive,tesco share price jump q3 sale top estimate
The fine print is here .,neutral,fine print
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,price log clearly improve 2009 also price pulpwood go
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,thus sysopen digia accordance chapter 14 section 21 finnish company act 2991978 734 obtain title share sentera redeem
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,diluted earning per share ep fall eur 063 eur 171
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,337 pm eastern time block 2400 contract change hand bid price 045
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,recent technology delivery include refinery technology anrak aluminium iron ore pelletize plant tata steel iron ore sinter plant bhushan steel
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,vip similar pattern like beginning may u sell nowwill go much high drop
The firm generated sales of 187 mln eur in 2005 .,neutral,firm generate sale 187 mln eur 2005
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,stora enso also meeting labor authority employment economic development centre representative government order find solution
AstraZeneca profit down as sales of stalwarts fade,negative,astrazeneca profit sale stalwart fade
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,rt andrewnyquist chartology yahoo httpstksco1itr yhoo crazy look chart near breakout resistance line
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,bullish stock twitter dip yhoo gdx googl stz gold ew vz celg sbux scty httpstcoiuzjelfwt3
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,finnish geosentric net sale decrease eur 939000 januarymarch 2009
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,cohen steers inc 5 534 626 share represent 4985 share capital voting right
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,staff recruit japan complement network close 50 service location 20 country worldwide
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,paper company negative territory stora enso r shed 162 pct 1273 eur upmkymmene 080 pct 1864 eur mreal b 018 pct low 557 eur
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,kaukotelko centralized administration dissolve appropriate part transfer operating activity group administration end year
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,operate profit quarter apriljune 2006 amount eur182 2 sale eur3 62 bn
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,atria choose delight attract consumer 2545 age group atria fresh range microwaveable meal
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,finnish solution provider affecto oyj hel afe1v say today slip net loss eur 115000 usd 152000 second quarter 2010 profit eur 845000 corresponding period year early
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,us sanction put gazpromshell alliance plan jeopardy
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,profit period eur 109 mn eur 143 mn 2009
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,profit period eur 59 mn eur 13 mn
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,operating profit fall eur 203 mn eur 742 mn second quarter 2008
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,however sale return growth apriljune 2010 ceo pekka eloholma say
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,operating profit total eur 186 mn 83 net sale
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,change market situation tough price competition substantially reduce demand bread packaging manufacture kauhava plant accord company
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,connection deal digia employ 19 person nokia oslo silicon valley usa
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,brazilian unit finnish security solution provider fsecure sign 1500 new client last year online news source reseller web quote division commercial director vladimir brandúo say
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,fair value company investment property go eur 2768 billion end 2009 eur 2916 billion year early
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,dealer say share largely hit investor disappointment refining margin 948 usd per barrel quarter performance shipping unit see ebit drop 5 mln eur 20 mln eur year amid fall volume tanker rate
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,testament quality lte solution commitment japanese market add
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,company aim finalize negotiation sign contract start october 2008
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,metso foundry jyvaskyla oy discontinue production line 30 september 2008 company say
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,total six poll analyst rat mreal two give buy accumulate three give hold one give sell
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,september 2010 finnish group agree buy danish company rise poultry eur23 9 combination cash stock
$YANG Double bottom 5.2,positive,yang double bottom 52
Tesco share price down as grocer faces SFO investigation outcome,negative,tesco share price grocer face sfo investigation outcome
$aapl news is becoming very bullish again http://stks.co/tMU,positive,aapl news become bullish httpstkscotmu
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,gs engineering install valve liquefy natural gas lng plant build uae lng extraction gas plant operator gasco ruwais uae
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,percentage share voting right calculate proportion total number share register trade register total number voting right relate
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,mreal say ground rumor circulate market month
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,lember say matter topical also estonia bill draft social affairs ministry would scrap oldage pension favorable condition
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,moody say give p a1 longterm senior unsecured p p1 shortterm debt rating finnish lender aktia bank eur1bn usd1 4 bn euro mediumterm note emtn program 25 march 2011
$TSLA recall,negative,tsla recall
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,liquidity providing interrupt may 11 2007 aspocomp group oyj share trade 050 cent aspocomp stock exchange release 1152007
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,hargreave lansdown buck weak market see asset rise 26 percent
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,1259 pm omx helsinki 25 index 032 pct low 269481
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,decision mean temporary layoff fix duration company nastola jyvaskyla unit southern central finland respectively
The value of the orders is over EUR 10mn .,neutral,value order eur 10mn
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,ms laakso responsible hkscan hr function development group smarket area
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,fiskar also engage global supply marine energy equipment solution services associate company wartsila corporation
Aberdeen Asset Management Gains Foothold In China,positive,aberdeen asset management gain foothold china
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,finland dominate rail company vr planning set infect passenger longdistance trip separate carriage
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,november finnish government decrease ownership company 311 percent 38 percent
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,finnish exel composite technology company design manufacture market composite profile tube various industrial application report net sale decrease 06 second quarter 2010 eur 192 mn eur 193 mn correspond period 2009
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,bavelloni nst joint venture bavelloni tool complete semiproduct produce italy highquality tool sell diapol brand
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,tool patent pende design allow consumer lay entire project removable plate use multiple clear stamp kind
$GOOGL is a short below 740 into the upper BB and is overbought,negative,googl short 740 upper bb overbought
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,light curfew curl late bestseller treat eye perfect read light luceplan
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,upmkymmene corp world large maker magazine paper tuesday report 19percent profit drop low paper price high cost strong euro hurt revenue
The total value of the contract is some EUR 8 million .,neutral,total value contract eur 8 million
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,prerequisite inclusion program receipt gain key employee acquire aspo share amount determine board advance maximum
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,mr dore eaton since 1989 act business unit manager eaton power control business unit since january 2007
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,250 sq 2691 sq ft store copenhagen premier shopping district inaugurate today strengthen company presence nordic capital
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,financial statement first quarter 2010 tikkurila report discontinued operation
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,world second large stainless steel maker say net profit threemonth period dec 31 surge euro603 million we 781 million euro3 33 us 431 per share euro172 million euro0 94 per share previous year
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication 2424kolnp2008 adate filing application 16062008publication date 30012009
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,netflix grow effort create loyal customer nflx httpstco5qxbkobphe
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,omx nordic 40 omxn40 index comprise 40 trade nordic stock nasdaq omx exchange close 087 106414 point thursday
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,aapl nibble small long via 525 buying 13min chart
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,operate margin aker yard cruise ferry division go 83 64 first quarter 2007
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,tyc break new high lot technical look great right
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,eero katajavuori currently group vice president human resource take yearlong sabbatical start october 1 2010
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,what s lulu number look good great good think conference call instill confidence
The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,adjustment measure carry phase secure delivery capability
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral,alma medium corporation press release 15 march 2010 tyrvaan sanomat paikallissanomat buy suomen paikallissanomat two local paper tyrvaan sanomat paikallissanomat appear sastamala neighbouring municipality buy suoman paikallissanomat oy
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,temporary layoff affect entire workforce also implement
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,meet medium analyst hold day 1030 stonesoft headquarters helsinki italahdenkatu 22 interim report present stonesoft ceo ilkka hiidenheimo
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,finnish samporosenlew manufacture approximately seven forest machine monthly half machine export
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,facebook near buy point last week face different technical test today httpstcoc72llmpinm fb aapl nflx httpstcofpfbytypuy
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,4 february 2011 finnish broadband datum communication system provider teleste oyj hel tlt1v say wednesday net profit rocket eur4 8 2010 eur416 000 2009 lift dividend proposal
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,free ha heeeeeere come pump glad pick 9k end day get ready bull ride
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,finnish technology group aspocomp group oyj omx helsinki acg1v issue third quarter report thursday 13 november post operating profit eur0 4 compare loss eur0 5 third quarter 2007
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,build complex consist highquality office retail space totalling 49200 square metre company say
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,neutral,finnish insurance company fennia kesko group end loyal customer cooperation
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral,unit plan operational second half 2007 full stream 2008
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,itg share deal estimate 500000 euro 627000
The plant is expected to enter commercial operation by mid-2009 .,neutral,plant expect enter commercial operation mid2009
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,aspo also investigate sale opportunity kaukomarkkinat electronic business
BG Group appoints new CEO one month early,neutral,bg group appoint new ceo one month early
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,acquisition immediate positive impact aspocomp financial result
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,finnair passenger load factor measure number sell seat share available seat drop 13 percentage point 767 september
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,rt bman1 lng look prim also eght poise run
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,also 77 pct 12month volume weight average price stock
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,coke dividend 3 google dividend 0 passive income coke take goog ko httpstcoqbsowjxost
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,profit taxis eur 54 mn eur 36 mn year early
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,subsidiary set facility manufacturing highdensity interconnection print circuit board pcbs nokia special economic zone sriperumbudur near chennai
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,crm sep 40 call 35 since entry bang httpstkscodedm
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,januaryjune 2010 diluted loss per share stand eur0 3 versus eur0 1 first half 2009
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,rapala say estimate make saving 12 mln eur year centralise french operation one site
$VMW  Got a nice push today following small sweepers of May C this morning,positive,vmw get nice push today follow small sweeper may c morning
That topped consensus forecasts for earnings of 0.21 euros a share .,positive,top consensus forecast earning 021 euro share
R&D Loan ) .,neutral,rd loan
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,future company intend look knowhow outside company cooperate actor sector
"You need to be ready when the window opens up , Rosberg said .",neutral,need ready window open rosberg say
"More than 50,000 tonnes of asphalt mix will be used in the contract .",neutral,50000 tonne asphalt mix use contract
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",neutral,pa jpmorgan chase co nyse jpm pohjoa bank joint leadmanager senior unsecured deal
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive,ctrp break good vol parser buy signal notice bob lang comment look 48 fast
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral,sales finland decrease 105 january sale outside finland drop 17
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,pulp production finnish kemijñrvi also liquidate 1100 employee loose job
Nordea was the cheapest also for a couple in their 30s with debt .,neutral,nordea cheap also couple 30 debt
"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",neutral,jussi pesonen member sampo board since 2006 renounce seat sampo board
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative,tesla recall 2700 model x car httpstco8z7bkvstl9 tsla
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjust change group structure division net sale increase 17
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",neutral,make matter difficult company say grapple high oil gas price push cost energy raw material transportation
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,amend proposal simplifie propose plan increase incentive key employee stay company
The solution will now be expanded to include all ground staff tasks .,neutral,solution expand include ground staff task
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,operating loss total eur 32 mn compare profit eur 72 mn third quarter 2008
