sentence,sentiment,sentence_clear,sentence_pt
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",Ahlstrom Corporation - COMUNICADO À BOLSA DE VALORES - 07/02/2007 às 10h30 - Um total de 56.955 novas ações da Ahlstrom Corporation foram subscritas com direitos de opção nos termos dos programas de opção de ações I 2001 e II 2001 da empresa.
$FB gone green on day,positive,FB gone green on day,O Facebook ficou verde no dia
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,"A receita do MSFT SQL Server cresceu dois dígitos, com a receita do SQL Server Premium crescendo mais de 30% http://stks.co/ir2F"
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .","Segundo Matti Karppinen, CEO da L+ñnnen Tehtaat, a empresa pretende entregar os produtos de peixe aos seus clientes um dia antes do que faz atualmente."
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,As ações da empresa estão cotadas na NASDAQ OMX Helsinki Rautaruukki Oyj: RTRKS.
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,A Elcoteq SE está cotada na Nasdaq OMX Helsinki Ltd.
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,Dois desses contratos são para vibrocompactadores de ânodos de plataforma giratória que serão entregues à Gansu Hualu Aluminum Co Ltd e a outro cliente não identificado.
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger","Aviva e Friends Life lideram as previsões antes da fusão de 5,6 bilhões de libras."
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .","Em vez de ser feita à base de refrigerante, como é habitual, a bebida energética Teho é feita com água fresca."
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,"A empresa planeja aumentar o número de funcionários especializados da unidade para várias dezenas, dependendo da situação do mercado durante 2010."
The company closed last year with a turnover of about four million euros .,neutral,The company closed last year with a turnover of about four million euros .,A empresa encerrou o ano passado com um faturamento de cerca de quatro milhões de euros.
Shire CEO steps up drive to get Baxalta board talking,positive,Shire CEO steps up drive to get Baxalta board talking,O CEO da Shire intensifica os esforços para iniciar uma conversa com o conselho da Baxalta.
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t COST,Costco: Uma excelente opção de varejo com dividendos https://t.co/Fa5cnh2t0t CUSTO
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .","O edifício de cinco andares, ecoeficiente, terá uma área bruta de construção de cerca de 15.000 m². Também incluirá apartamentos."
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .","A primeira parte da Série Cinema conclui com um perfil do inventor finlandês Olavi Linden, cuja trajetória artística pessoal e trabalho na Fiskars lhe renderam dezenas de prêmios de design."
All are welcome .,neutral,All are welcome .,Todos são bem-vindos.
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .","A Stockmann e a empresa sueca do setor AB Lindex celebraram um acordo em 30 de setembro de 2007, pelo qual a Stockmann, ou uma subsidiária integral desta, fará uma oferta pública de aquisição de todas as ações emitidas da Lindex."
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .","COMUNICADO DA HUHTAMAKI OYJ À BOLSA DE VALORES, 16/09/2008 ÀS 13:32 O Dia do Mercado de Capitais da Huhtamaki para investidores institucionais e analistas será realizado em Espoo, no dia 16 de setembro de 2008, a partir das 13h30, horário finlandês."
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,`` We are pleased to welcome Tapeks Noma into Cramo group .,"""Temos o prazer de dar as boas-vindas a Tapeks Noma ao grupo Cramo."""
- Profit before taxes was EUR 105.9 82.7 million .,neutral,- Profit before taxes was EUR 105.9 82.7 million .,"- O lucro antes dos impostos foi de 105,9 82,7 milhões de euros."
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,Royal Dutch Shell to Buy BG Group for Nearly 70 Billion,Royal Dutch Shell comprará o BG Group por quase 70 bilhões.
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .","O FinancialWire™ não é um serviço de distribuição de comunicados de imprensa e não recebe qualquer compensação pelas suas notícias, opiniões ou distribuições."
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns  24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,"O banco Kaupthing atribuiu uma recomendação ""neutra"" e um preço-alvo de 174 coroas (24,7 euros) às ações da fabricante sueca de fechaduras Assa Abloy AB."
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .","O item incluiu custos de reestruturação de 1,6 milhão de euros, enquanto no ano anterior foram de 13,1 milhões de euros. O lucro por ação diluído foi de 0,3 euros, contra um prejuízo por ação de 0,1 euros."
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,In 2005 the bank posted a net profit of Lt 8.2 mn .,"Em 2005, o banco registrou um lucro líquido de 8,2 milhões de liras."
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,"A queda das ações da AAPL na tarde de hoje será brutal, como de costume. Prepare-se para perder muito dinheiro."
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,"A TSLA está fazendo recall de praticamente todos os Model X. @cnnbrk, você entrou nessa onda de vendas a descoberto, mesmo no trabalho, você entra no mercado financeiro."
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .","A Dolce & Gabbana solicitou à União Europeia que declare inválida a marca registrada ""Unikko"" da Marimekko Corporation, em uma disputa contínua entre as duas empresas."
InterContinental Hotels first-quarter global room revenue lags estimates,negative,InterContinental Hotels first-quarter global room revenue lags estimates,A receita global de quartos da InterContinental Hotels no primeiro trimestre ficou abaixo das estimativas.
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .","Segundo a empresa finlandesa de seguros de pensões Varma, a Varma recebeu mais de dois terços da receita da cobertura de pensões vinculadas aos rendimentos que foi licitada na Finlândia."
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,"A portion ,  12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .","Uma parcela, 12,5 milhões, será contabilizada como parte dos ganhos obtidos em uma disputa anterior de patentes com a fabricante finlandesa de telefones Nokia Oyj."
"L&G still paying price for dividend cut during crisis, chief says",negative,"L&G still paying price for dividend cut during crisis, chief says","L&G ainda paga o preço pelo corte de dividendos durante a crise, diz o diretor executivo."
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,"O volume de investimentos nas duas fases do projeto é estimado em USD 300 milhões (EUR 215,03 milhões)."
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .","A Rússia representou 9% da receita da divisão de revistas da Lagardère, ou 114,40 milhões de euros (148,11 milhões de dólares) em 2009, e os EUA, 18%."
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,"A empresa estima ainda que os investimentos já realizados levarão a um aumento nas suas vendas líquidas em 2010 em relação a 2009, quando atingiram 141,7 milhões de euros."
Profit of the accounting period was EUR 0.3 mn .,neutral,Profit of the accounting period was EUR 0.3 mn .,"O lucro do período contábil foi de 0,3 milhões de euros."
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .","As seis cervejarias registraram um crescimento de 5,2% nas vendas de cerveja no mercado interno no ano passado, atingindo 270,21 milhões de litros, contra 256,88 milhões de litros vendidos em 2005."
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .","Entre agosto e outubro de 2010, o resultado da empresa antes dos impostos totalizou 9,6 milhões de euros, um aumento em relação aos 0,5 milhões de euros no mesmo período de 2009."
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .","Os recursos de vendas e de projetos da Systeemitiimi também serão reforçados, afirmou o diretor Paul Skogberg."
Tesco share price jumps as Q3 sales top estimates,positive,Tesco share price jumps as Q3 sales top estimates,As ações da Tesco disparam após as vendas do terceiro trimestre superarem as estimativas.
The fine print is here .,neutral,The fine print is here .,Os detalhes estão aqui.
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,"O preço da madeira em toras melhorou claramente desde 2009, e o preço da madeira para celulose também aumentou."
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .","Assim, a SysOpen Digia, de acordo com o Capítulo 14, Seção 21 da Lei das Sociedades Finlandesas 29.9.1978 - 734, obteve a titularidade de todas as ações da Sentera que devem ser resgatadas."
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,"O lucro diluído por ação (LPA) caiu para 0,63 euros, ante 1,71 euros."
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of  0.45 .","Às 15h37, horário do leste dos EUA, um bloco de 2.400 contratos mudou de mãos a um preço de licitação de 0,45."
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .","Algumas das entregas de tecnologia mais recentes incluem tecnologia de refinaria para a Anrak Aluminium, uma planta de pelotização de minério de ferro para a Tata Steel e plantas de sinterização de minério de ferro para a Bhushan Steel."
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,VIPS com padrão semelhante ao do início de maio. Você vendeu? O mesmo agora... vai subir muito mais depois dessa queda.
The firm generated sales of 187 mln eur in 2005 .,neutral,The firm generated sales of 187 mln eur in 2005 .,A empresa gerou vendas de 187 milhões de euros em 2005.
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .","A Stora Enso também realizou reuniões com as autoridades trabalhistas, os Centros de Emprego e Desenvolvimento Econômico e representantes do governo a fim de encontrar soluções."
AstraZeneca profit down as sales of stalwarts fade,negative,AstraZeneca profit down as sales of stalwarts fade,Lucro da AstraZeneca cai com queda nas vendas de seus principais produtos.
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr YHOO  Crazy looking chart, but nearing breakout resistance line...","RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr YHOO Gráfico com aparência estranha, mas perto da linha de resistência de rompimento..."
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,Most bullish stocks on Twitter during this dip. YHOO GDX GOOGL STZ GOLD EW VZ CELG SBUX SCTY more: https://t.co/iuZJelfwt3,Ações com maior tendência de alta no Twitter durante essa queda. YHOO GDX GOOGL STZ GOLD EW VZ CELG SBUX SCTY e mais: https://t.co/iuZJelfwt3
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",As vendas líquidas da empresa finlandesa GeoSentric diminuíram para 939.000 euros no período de janeiro a março de 2009.
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .","Cohen & Steers, Inc.: 5.534.626 ações representando 4,985% do capital social e dos direitos de voto."
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,Mais funcionários foram contratados no Japão para complementar ainda mais sua rede de quase 50 locais de atendimento em mais de 20 países em todo o mundo.
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .","As empresas de papel-moeda estavam em território negativo, com a Stora Enso R caindo 1,62% para 12,73 euros, a UPM-Kymmene recuando 0,80% para 18,64 euros e a M-real B perdendo 0,18% para 5,57 euros."
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,A administração centralizada da Kauko-Telko será dissolvida e as partes pertinentes serão transferidas para as atividades operacionais e para a administração do Grupo até o final do ano.
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,"O lucro operacional do trimestre de abril a junho de 2006 foi de 182,2 milhões de euros, com vendas de 3,62 bilhões de euros."
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,A Atria escolheu o DeLight para atrair consumidores na faixa etária de 25 a 45 anos para sua linha de refeições para micro-ondas Atria Fresh.
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .","A fornecedora finlandesa de soluções de TI Affecto Oyj HEL: AFE1V anunciou hoje que registrou um prejuízo líquido de € 115.000 (US$ 152.000) no segundo trimestre de 2010, em comparação com um lucro de € 845.000 no mesmo período do ano anterior."
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,US sanctions put Gazprom-Shell alliance plans in jeopardy,As sanções dos EUA colocam em risco os planos da aliança Gazprom-Shell.
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .","O lucro do período foi de 10,9 milhões de euros, uma queda em relação aos 14,3 milhões de euros em 2009."
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .","O lucro do período foi de 5,9 milhões de euros, um aumento em relação aos 1,3 milhões de euros do período anterior."
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,"O lucro operacional caiu para 20,3 milhões de euros, contra 74,2 milhões de euros no segundo trimestre de 2008."
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .","No entanto, as vendas voltaram a crescer entre abril e junho de 2010, afirmou o CEO Pekka Eloholma."
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,"O lucro operacional totalizou 18,6 milhões de euros, ou 8,3% das vendas líquidas."
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .","Segundo a empresa, as mudanças na situação do mercado e a maior concorrência de preços reduziram substancialmente a demanda por embalagens de pão fabricadas na planta de Kauhava."
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .","Em decorrência do acordo, a Digia empregará 19 pessoas da Nokia em Oslo e no Vale do Silício, nos EUA."
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .","A unidade brasileira da provedora finlandesa de soluções de segurança F-Secure conquistou 1.500 novos clientes no ano passado, segundo declarações do diretor comercial da divisão, Vladimir Brandúo, citadas pelo portal de notícias online Reseller Web."
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,"O valor justo dos imóveis de investimento da empresa caiu para 2,768 bilhões de euros no final de 2009, ante 2,916 bilhões de euros no ano anterior."
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .","Os operadores disseram que as ações foram amplamente afetadas pela decepção dos investidores com a margem de refino de apenas 9,48 dólares por barril no trimestre e pelo desempenho de sua unidade de transporte marítimo, que viu o EBIT cair para 5 milhões de euros, ante 20 milhões de euros no ano anterior, em meio à queda nos volumes e nas taxas de frete de navios-tanque."
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .","""Isso demonstra a qualidade da nossa solução LTE e o nosso compromisso com o mercado japonês"", acrescentou."
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,O objetivo das empresas é finalizar as negociações e assinar os contratos no início de outubro de 2008.
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .","A Metso Foundries Jyvaskyla Oy irá descontinuar a produção nesta linha até 30 de setembro de 2008, informou a empresa."
