Unnamed: 0,y,text,text_pt,finbert_sentiment,text_pt_clean,fb_new_sentiment
10,positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE O Credit Suisse First Boston (CFSB) elevou o valor justo para ações em quatro dos maiores grupos florestais nórdicos.",POSITIVE,stora enso norske skog mreal upmkymmene credit suisse first boston cfsb elevou valor justo ações quatro maiores grupos florestais nórdicos,POSITIVE
11,positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","Um contrato de compra de 7.200 toneladas de gasolina com entrega no terminal de Hamina, Finlândia, foi assinado com a Neste Oil OYj na média do índice Platts para setembro deste ano mais oito dólares americanos por mês.",POSITIVE,contrato compra 7200 toneladas gasolina entrega terminal hamina finlândia assinado neste oil oyj média índice platts setembro deste ano oito dólares americanos mês,NEUTRAL
12,positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .","A Finnish Talentum relata que seu lucro operacional aumentou para EUR 20,5 milhões em 2005 de EUR 9,3 milhões em 2004, e as vendas líquidas totalizaram EUR 103,3 milhões, acima de EUR 96,4 milhões.",POSITIVE,finnish talentum relata lucro operacional aumentou eur 205 milhões 2005 eur 93 milhões 2004 vendas líquidas totalizaram eur 1033 milhões acima eur 964 milhões,POSITIVE
13,positive,"Clothing retail chain Sepp+∆l+∆ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","As vendas da cadeia de varejo de roupas Sepp + ∆l + ∆ aumentaram 8% para EUR 155,2 milhões, e o lucro operacional subiu para EUR 31,1 milhões de EUR 17,1 milhões em 2004.",POSITIVE,vendas cadeia varejo roupas sepp ∆l ∆ aumentaram 8 eur 1552 milhões lucro operacional subiu eur 311 milhões eur 171 milhões 2004,POSITIVE
14,positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","As vendas líquidas consolidadas aumentaram 16% para alcançar EUR74,8 milhões, enquanto o lucro operacional totalizou EUR0,9 milhões em comparação com uma perda de EUR0,7 milhões no período do ano anterior.",POSITIVE,vendas líquidas consolidadas aumentaram 16 alcançar eur748 milhões enquanto lucro operacional totalizou eur09 milhões comparação perda eur07 milhões período ano anterior,POSITIVE
15,positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","A divisão de fundições relata que suas vendas aumentaram 9,7% para EUR 63,1 milhões de EUR 57,5 milhões no período correspondente em 2006, e as vendas da divisão de Oficina de Máquinas aumentaram 16,4% para EUR 41,2 milhões de EUR 35,4 milhões no período correspondente em 2006.",POSITIVE,divisão fundições relata vendas aumentaram 97 eur 631 milhões eur 575 milhões período correspondente 2006 vendas divisão oficina máquinas aumentaram 164 eur 412 milhões eur 354 milhões período correspondente 2006,NEGATIVE
16,positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","HELSINKI (AFX) - As ações fecharam em alta, lideradas pela Nokia após anunciar planos de se associar à Sanyo para fabricar aparelhos 3G, e pela Nokian Tyres depois que seu relatório de lucros do quarto trimestre superou as expectativas dos analistas, disseram revendedores.",POSITIVE,helsinki afx ações fecharam alta lideradas nokia após anunciar planos associar sanyo fabricar aparelhos 3g nokian tyres relatório lucros quarto trimestre superou expectativas analistas disseram revendedores,POSITIVE
17,positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","Incap Contract Manufacturing Services Pvt Ltd, uma subsidiária da Incap Corporation of Finland, planeja dobrar suas receitas em 2007-2008.",POSITIVE,incap contract manufacturing services pvt ltd subsidiária incap corporation of finland planeja dobrar receitas 20072008,POSITIVE
18,positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","Seu conselho de administração irá propor um dividendo de EUR0,12 por ação para 2010, acima dos EUR0,08 por ação pagos em 2009.",NEUTRAL,conselho administração irá propor dividendo eur012 ação 2010 acima eur008 ação pagos 2009,NEUTRAL
19,positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","A Lifetree foi fundada em 2000 e suas receitas aumentaram em média 40%, com margens no final dos anos 30.",POSITIVE,lifetree fundada 2000 receitas aumentaram média 40 margens final anos 30,POSITIVE
20,positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","(Filippova) Um acordo trilateral sobre o investimento na construção de um parque tecnológico em São Petersburgo deveria ter sido assinado durante o fórum Dias da Economia Russa, que hoje foi inaugurado em Helsinque.",NEUTRAL,filippova acordo trilateral sobre investimento construção parque tecnológico petersburgo deveria ter sido assinado durante fórum dias economia russa hoje inaugurado helsinque,NEUTRAL
21,positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","A base de assinantes da MegaFon aumentou 16,1% em 2009 para 50,5 milhões de usuários em 31 de dezembro, enquanto sua participação de mercado em número de clientes ascendeu a 24% no final de 2009, ante 23% no final de 2008, de acordo com estimativas da TeliaSonera .",POSITIVE,base assinantes megafon aumentou 161 2009 505 milhões usuários 31 dezembro enquanto participação mercado número clientes ascendeu 24 final 2009 ante 23 final 2008 acordo estimativas teliasonera,POSITIVE
22,positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","O rendimento líquido dos seguros de vida duplicou para 6,8 milhões de euros de 3,2 milhões de euros, e o rendimento líquido dos seguros não vida aumentou para 5,2 milhões de euros de 1,5 milhões de euros no período correspondente em 2009.",NEGATIVE,rendimento líquido seguros vida duplicou 68 milhões euros 32 milhões euros rendimento líquido seguros vida aumentou 52 milhões euros 15 milhões euros período correspondente 2009,NEGATIVE
23,positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),"As vendas líquidas aumentaram para EUR193,3 milhões de EUR179,9 milhões e o lucro antes dos impostos aumentou 34,2% para EUR43,1 milhões. (EUR1 = US $ 1,4)",POSITIVE,vendas líquidas aumentaram eur1933 milhões eur1799 milhões lucro antes impostos aumentou 342 eur431 milhões eur1 us 14,POSITIVE
24,positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","As vendas líquidas aumentaram 18,5% para EUR167,8 milhões. A Teleste disse que 20,4 milhões de euros, ou 12,2%, das vendas vieram das aquisições feitas em 2009.",POSITIVE,vendas líquidas aumentaram 185 eur1678 milhões teleste disse 204 milhões euros 122 vendas vieram aquisições feitas 2009,POSITIVE
25,positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,"O lucro operacional do Grupo Nordea aumentou em 2010 em 18 por cento ano a ano para 3,64 bilhões de euros e a receita total em 3 por cento, para 9,33 bilhões de euros.",POSITIVE,lucro operacional grupo nordea aumentou 2010 18 cento ano ano 364 bilhões euros receita total 3 cento 933 bilhões euros,POSITIVE
26,positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","O lucro operacional para o período de nove meses aumentou de EUR13,6 milhões, enquanto as vendas líquidas aumentaram de EUR394,7 milhões, em comparação com o período correspondente em 2005.",POSITIVE,lucro operacional período nove meses aumentou eur136 milhões enquanto vendas líquidas aumentaram eur3947 milhões comparação período correspondente 2005,POSITIVE
27,positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","O lucro operacional para o período de nove meses aumentou de EUR3,1 m e as vendas líquidas aumentaram de EUR 61,5 m, em comparação com o período correspondente em 2007.",POSITIVE,lucro operacional período nove meses aumentou eur31 m vendas líquidas aumentaram eur 615 m comparação período correspondente 2007,POSITIVE
28,positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","O lucro operacional para o período de três meses aumentou de € 1,2 milhões, enquanto as receitas aumentaram de € 20,2 milhões, em comparação com o período correspondente em 2005.",POSITIVE,lucro operacional período três meses aumentou € 12 milhões enquanto receitas aumentaram € 202 milhões comparação período correspondente 2005,POSITIVE
29,positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","A unidade brasileira da fornecedora de soluções de segurança finlandesa F-Secure assinou 1.500 novos clientes no ano passado, disse a fonte de notícias online Reseller Web citando o diretor comercial da divisão, Vladimir Brand + _o.",POSITIVE,unidade brasileira fornecedora soluções segurança finlandesa fsecure assinou 1500 novos clientes ano passado disse fonte notícias online reseller web citando diretor comercial divisão vladimir brand,POSITIVE
30,positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","O lucro líquido da empresa cresceu 11,4% no ano, para 82,2 milhões de euros em 2005, sobre vendas de 686,5 milhões de euros, 13,8% acima do ano passado, informou a empresa anteriormente.",POSITIVE,lucro líquido empresa cresceu 114 ano 822 milhões euros 2005 sobre vendas 6865 milhões euros 138 acima ano passado informou empresa anteriormente,POSITIVE
31,positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","O mercado de cerveja da Lituânia registrou 14,41 milhões de litros em janeiro, um aumento de 0,8% em relação ao ano anterior, informou a Associação de Cervejarias da Lituânia citando os resultados de seus membros.",POSITIVE,mercado cerveja lituânia registrou 1441 milhões litros janeiro aumento 08 relação ano anterior informou associação cervejarias lituânia citando resultados membros,POSITIVE
32,positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","A receita de carga da Viking Line aumentou 5,4% para EUR 21,46 milhões, e o volume de carga aumentou 2,4% para 70.116 unidades de carga.",POSITIVE,receita carga viking line aumentou 54 eur 2146 milhões volume carga aumentou 24 70116 unidades carga,POSITIVE
33,positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","O justo valor da carteira de imóveis duplicou com a aquisição da Kapiteeli e totalizou 2.686,2 1.259,7 milhões de euros.",POSITIVE,justo valor carteira imóveis duplicou aquisição kapiteeli totalizou 26862 12597 milhões euros,NEGATIVE
34,positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"10 de fevereiro de 2011 - A empresa de mídia finlandesa Sanoma Oyj HEL: SAA1V disse ontem que seu lucro líquido de 2010 quase triplicou para EUR 297,3 milhões de EUR107,1 milhões para 2009 e anunciou uma proposta para um aumento no pagamento.",POSITIVE,10 fevereiro 2011 empresa mídia finlandesa sanoma oyj hel saa1v disse ontem lucro líquido 2010 quase triplicou eur 2973 milhões eur1071 milhões 2009 anunciou proposta aumento pagamento,POSITIVE
35,positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","A Helsinque: o ELIiV relatou hoje um lucro por ação de 1,13 euros em 2009, um aumento em relação ao lucro por ação de 1,12 euros em 2008.",POSITIVE,helsinque eliiv relatou hoje lucro ação 113 euros 2009 aumento relação lucro ação 112 euros 2008,POSITIVE
36,positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","DIVULGAÇÃO DA BOLSA DE AÇÕES Aspo Plc 11 de fevereiro de 2011 às 8h45 A ESL Shipping Ltd, parte do Aspo Group, assinou um novo contrato de longo prazo com a Rautaruukki Corporation para o transporte marítimo de matérias-primas no Mar Báltico.",POSITIVE,divulgação bolsa ações aspo plc 11 fevereiro 2011 8h45 esl shipping ltd parte aspo group assinou novo contrato longo prazo rautaruukki corporation transporte marítimo matériasprimas mar báltico,NEUTRAL
37,positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .","As receitas de comissões aumentaram 22% para 4,4 milhões de euros e o volume de empréstimos aumentou 13,5%.",POSITIVE,receitas comissões aumentaram 22 44 milhões euros volume empréstimos aumentou 135,NEGATIVE
38,positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","Em janeiro, o tráfego, medido em receita-passageiro-quilômetro RPK, aumentou 3,2% e a capacidade, medida em assento-quilômetro ASK oferecido, aumentou 12,2%.",POSITIVE,janeiro tráfego medido receitapassageiroquilômetro rpk aumentou 32 capacidade medida assentoquilômetro ask oferecido aumentou 122,NEGATIVE
39,positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","Em janeiro-setembro de 2010, o lucro líquido da Fiskars aumentou 14% com relação ao ano anterior para EUR 65,4 milhões e as vendas líquidas para EUR 525,3 milhões de EUR 487,7 milhões.",POSITIVE,janeirosetembro 2010 lucro líquido fiskars aumentou 14 relação ano anterior eur 654 milhões vendas líquidas eur 5253 milhões eur 4877 milhões,POSITIVE
40,positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","O lucro líquido de seguros de vida aumentou para EUR 16,5 milhões de EUR 14,0 milhões, e o lucro líquido de seguros não vida para EUR 22,6 milhões de EUR 15,2 milhões em 2009.",POSITIVE,lucro líquido seguros vida aumentou eur 165 milhões eur 140 milhões lucro líquido seguros vida eur 226 milhões eur 152 milhões 2009,POSITIVE
41,positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",A Nyrstar também concordou em fornecer à Talvivaara até 150.000 toneladas de ácido sulfúrico por ano para uso no processo de lixiviação da Talvivaara durante o período de fornecimento do zinco em concentrado.,POSITIVE,nyrstar concordou fornecer talvivaara 150000 toneladas ácido sulfúrico ano uso processo lixiviação talvivaara durante período fornecimento zinco concentrado,NEUTRAL
42,positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","As vendas da divisão de lojas de departamentos e do Hobby Hall aumentaram 7%, enquanto as vendas da filial da loja de roupas Seppala diminuíram 4%.",POSITIVE,vendas divisão lojas departamentos hobby hall aumentaram 7 enquanto vendas filial loja roupas seppala diminuíram 4,NEGATIVE
43,positive,Sales have risen in other export markets .,As vendas aumentaram em outros mercados de exportação.,POSITIVE,vendas aumentaram outros mercados exportação,POSITIVE
44,positive,Sales increased due to growing market rates and increased operations .,As vendas aumentaram devido às taxas de mercado crescentes e ao aumento das operações.,POSITIVE,vendas aumentaram devido taxas mercado crescentes aumento operações,NEGATIVE
45,positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,O acordo fortalece nossa parceria de longo prazo com a Nokia Siemens Networks.,POSITIVE,acordo fortalece parceria longo prazo nokia siemens networks,POSITIVE
46,positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","O acordo foi assinado com a Biohit Healthcare Ltd, subsidiária da Biohit Oyj, com sede no Reino Unido, uma empresa pública finlandesa que desenvolve, fabrica e comercializa produtos de manuseio de líquidos e sistemas de teste de diagnóstico.",POSITIVE,acordo assinado biohit healthcare ltd subsidiária biohit oyj sede reino unido empresa pública finlandesa desenvolve fabrica comercializa produtos manuseio líquidos sistemas teste diagnóstico,NEUTRAL
47,positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,"A empresa também estima que os investimentos já realizados levem a um aumento das vendas líquidas de 2010 a partir de 2009 quando atingiram 141,7 milhões de euros.",POSITIVE,empresa estima investimentos realizados levem aumento vendas líquidas 2010 partir 2009 atingiram 1417 milhões euros,POSITIVE
48,positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","A carteira de pedidos da empresa ficou em 1,5 bilhão de euros, $ 2,2 bilhões, em 30 de setembro de 2007, um aumento de 24,2% no ano, com pedidos internacionais totalizando 365 milhões de euros, $ 534,3 milhões.",POSITIVE,carteira pedidos empresa ficou 15 bilhão euros 22 bilhões 30 setembro 2007 aumento 242 ano pedidos internacionais totalizando 365 milhões euros 5343 milhões,POSITIVE
49,positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .","A empresa disse que a demanda por papel aumentou em todos os seus principais mercados, incluindo papéis para publicação, e que aumentou os preços médios do papel em 4 por cento em comparação com o ano passado.",POSITIVE,empresa disse demanda papel aumentou todos principais mercados incluindo papéis publicação aumentou preços médios papel 4 cento comparação ano passado,POSITIVE
50,positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","A segunda maior fabricante de aço inoxidável do mundo disse que o lucro líquido no período de três meses até 31 de dezembro subiu para € 603 milhões, US $ 781 milhões, ou € 3,33 US $ 4,31 por ação, de € 172 milhões, ou € 0,94 por ação, no ano anterior.",POSITIVE,segunda maior fabricante aço inoxidável mundo disse lucro líquido período três meses 31 dezembro subiu € 603 milhões us 781 milhões € 333 us 431 ação € 172 milhões € 094 ação ano anterior,POSITIVE
51,positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .","No âmbito da parceria, a Nokia Siemens Networks assinou um acordo de compra inicial com a subsidiária da Sitronics, JSC Mikron, que é o maior fabricante e exportador de componentes microeletrônicos da Rússia.",POSITIVE,âmbito parceria nokia siemens networks assinou acordo compra inicial subsidiária sitronics jsc mikron maior fabricante exportador componentes microeletrônicos rússia,POSITIVE
52,positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","A receita da Seppala aumentou 0,2% para EUR10,1 milhões. Na Finlândia, a receita diminuiu 2,4% para EUR 6,8 milhões, enquanto as vendas no exterior aumentaram 6,2% para EUR3,3 milhões. As vendas aumentaram em todos os países bálticos, bem como na Rússia e na Ucrânia.",POSITIVE,receita seppala aumentou 02 eur101 milhões finlândia receita diminuiu 24 eur 68 milhões enquanto vendas exterior aumentaram 62 eur33 milhões vendas aumentaram todos países bálticos bem rússia ucrânia,NEGATIVE
53,positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","As ações do Standard Chartered (STAN) subiram 1,2% no FTSE 100, enquanto as ações do Royal Bank of Scotland (RBS) subiram 2% e as ações do Barclays (BARC) (BCS) subiram 1,7%.",POSITIVE,ações standard chartered stan subiram 12 ftse 100 enquanto ações royal bank of scotland rbs subiram 2 ações barclays barc bcs subiram 17,POSITIVE
54,positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,"As ações da Nokia Corp. subiram na quinta-feira, depois que a fabricante de celulares disse que seus ganhos no terceiro trimestre quase dobraram e sua participação no mercado global de aparelhos aumentou.",POSITIVE,ações nokia corp subiram quintafeira fabricante celulares disse ganhos terceiro trimestre quase dobraram participação mercado global aparelhos aumentou,POSITIVE
55,positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .","Em seu relatório financeiro, publicado na sexta-feira, o SEB disse que seu lucro líquido disparou para SEK6,745 bilhões em 2010, ante SEK1,114 bilhões no ano anterior, e propôs um aumento de 50% nos dividendos para SEK1,50 por ação.",POSITIVE,relatório financeiro publicado sextafeira seb disse lucro líquido disparou sek6745 bilhões 2010 ante sek1114 bilhões ano anterior propôs aumento 50 dividendos sek150 ação,POSITIVE
56,positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,"As vendas da divisão de lojas de departamentos aumentaram 15% e as vendas da filial da loja de roupas Seppala aumentaram 8%. Enquanto isso, as vendas de Hobby Hall diminuíram 12%.",POSITIVE,vendas divisão lojas departamentos aumentaram 15 vendas filial loja roupas seppala aumentaram 8 enquanto vendas hobby hall diminuíram 12,NEGATIVE
57,neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .","A pedido dos jornais da empresa de mídia finlandesa Alma Media, o gerente de pesquisa Jari Kaivo-oja do Finland Futures Research Centre da Turku School of Economics traçou um cenário futuro para a economia nacional da Finlândia, usando um modelo desenvolvido pela University of Denver.",POSITIVE,pedido jornais empresa mídia finlandesa alma media gerente pesquisa jari kaivooja finland futures research centre turku school of economics traçou cenário futuro economia nacional finlândia usando modelo desenvolvido university of denver,NEUTRAL
58,neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .","Na Suécia, as vendas acumuladas em SEK da Gallerix caíram 1% e as vendas denominadas em EUR aumentaram 11%.",NEGATIVE,suécia vendas acumuladas sek gallerix caíram 1 vendas denominadas eur aumentaram 11,NEGATIVE
59,neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,A empresa apóia seus clientes globais no desenvolvimento de novas tecnologias e oferece um caminho rápido do desenvolvimento de produtos às aplicações e produção em massa.,POSITIVE,empresa apóia clientes globais desenvolvimento novas tecnologias oferece caminho rápido desenvolvimento produtos aplicações produção massa,POSITIVE
